group,source,factor_id,name,expression
alpha158,qlib_alpha158,a158_beta10,Alpha158_趋势斜率10日,"Slope($close, 10)/$close"
alpha158,qlib_alpha158,a158_beta20,Alpha158_趋势斜率20日,"Slope($close, 20)/$close"
alpha158,qlib_alpha158,a158_beta30,Alpha158_趋势斜率30日,"Slope($close, 30)/$close"
alpha158,qlib_alpha158,a158_beta5,Alpha158_趋势斜率5日,"Slope($close, 5)/$close"
alpha158,qlib_alpha158,a158_beta60,Alpha158_趋势斜率60日,"Slope($close, 60)/$close"
alpha158,qlib_alpha158,a158_cntd10,Alpha158_涨跌差10日,"Mean($close>Ref($close, 1), 10)-Mean($close<Ref($close, 1), 10)"
alpha158,qlib_alpha158,a158_cntd20,Alpha158_涨跌差20日,"Mean($close>Ref($close, 1), 20)-Mean($close<Ref($close, 1), 20)"
alpha158,qlib_alpha158,a158_cntd30,Alpha158_涨跌差30日,"Mean($close>Ref($close, 1), 30)-Mean($close<Ref($close, 1), 30)"
alpha158,qlib_alpha158,a158_cntd5,Alpha158_涨跌差5日,"Mean($close>Ref($close, 1), 5)-Mean($close<Ref($close, 1), 5)"
alpha158,qlib_alpha158,a158_cntd60,Alpha158_涨跌差60日,"Mean($close>Ref($close, 1), 60)-Mean($close<Ref($close, 1), 60)"
alpha158,qlib_alpha158,a158_cntn10,Alpha158_下跌比例10日,"Mean($close<Ref($close, 1), 10)"
alpha158,qlib_alpha158,a158_cntn20,Alpha158_下跌比例20日,"Mean($close<Ref($close, 1), 20)"
alpha158,qlib_alpha158,a158_cntn30,Alpha158_下跌比例30日,"Mean($close<Ref($close, 1), 30)"
alpha158,qlib_alpha158,a158_cntn5,Alpha158_下跌比例5日,"Mean($close<Ref($close, 1), 5)"
alpha158,qlib_alpha158,a158_cntn60,Alpha158_下跌比例60日,"Mean($close<Ref($close, 1), 60)"
alpha158,qlib_alpha158,a158_cntp10,Alpha158_上涨比例10日,"Mean($close>Ref($close, 1), 10)"
alpha158,qlib_alpha158,a158_cntp20,Alpha158_上涨比例20日,"Mean($close>Ref($close, 1), 20)"
alpha158,qlib_alpha158,a158_cntp30,Alpha158_上涨比例30日,"Mean($close>Ref($close, 1), 30)"
alpha158,qlib_alpha158,a158_cntp5,Alpha158_上涨比例5日,"Mean($close>Ref($close, 1), 5)"
alpha158,qlib_alpha158,a158_cntp60,Alpha158_上涨比例60日,"Mean($close>Ref($close, 1), 60)"
alpha158,qlib_alpha158,a158_cord10,Alpha158_涨跌量相关10日,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 10)"
alpha158,qlib_alpha158,a158_cord20,Alpha158_涨跌量相关20日,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 20)"
alpha158,qlib_alpha158,a158_cord30,Alpha158_涨跌量相关30日,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 30)"
alpha158,qlib_alpha158,a158_cord5,Alpha158_涨跌量相关5日,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 5)"
alpha158,qlib_alpha158,a158_cord60,Alpha158_涨跌量相关60日,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 60)"
alpha158,qlib_alpha158,a158_corr10,Alpha158_价量相关10日,"Corr($close, Log($volume+1), 10)"
alpha158,qlib_alpha158,a158_corr20,Alpha158_价量相关20日,"Corr($close, Log($volume+1), 20)"
alpha158,qlib_alpha158,a158_corr30,Alpha158_价量相关30日,"Corr($close, Log($volume+1), 30)"
alpha158,qlib_alpha158,a158_corr5,Alpha158_价量相关5日,"Corr($close, Log($volume+1), 5)"
alpha158,qlib_alpha158,a158_corr60,Alpha158_价量相关60日,"Corr($close, Log($volume+1), 60)"
alpha158,qlib_alpha158,a158_high0,Alpha158_最高比,$high/$close
alpha158,qlib_alpha158,a158_imax10,Alpha158_最高位置10日,"IdxMax($high, 10)/10"
alpha158,qlib_alpha158,a158_imax20,Alpha158_最高位置20日,"IdxMax($high, 20)/20"
alpha158,qlib_alpha158,a158_imax30,Alpha158_最高位置30日,"IdxMax($high, 30)/30"
alpha158,qlib_alpha158,a158_imax5,Alpha158_最高位置5日,"IdxMax($high, 5)/5"
alpha158,qlib_alpha158,a158_imax60,Alpha158_最高位置60日,"IdxMax($high, 60)/60"
alpha158,qlib_alpha158,a158_imin10,Alpha158_最低位置10日,"IdxMin($low, 10)/10"
alpha158,qlib_alpha158,a158_imin20,Alpha158_最低位置20日,"IdxMin($low, 20)/20"
alpha158,qlib_alpha158,a158_imin30,Alpha158_最低位置30日,"IdxMin($low, 30)/30"
alpha158,qlib_alpha158,a158_imin5,Alpha158_最低位置5日,"IdxMin($low, 5)/5"
alpha158,qlib_alpha158,a158_imin60,Alpha158_最低位置60日,"IdxMin($low, 60)/60"
alpha158,qlib_alpha158,a158_imxd10,Alpha158_极值距离10日,"(IdxMax($high, 10)-IdxMin($low, 10))/10"
alpha158,qlib_alpha158,a158_imxd20,Alpha158_极值距离20日,"(IdxMax($high, 20)-IdxMin($low, 20))/20"
alpha158,qlib_alpha158,a158_imxd30,Alpha158_极值距离30日,"(IdxMax($high, 30)-IdxMin($low, 30))/30"
alpha158,qlib_alpha158,a158_imxd5,Alpha158_极值距离5日,"(IdxMax($high, 5)-IdxMin($low, 5))/5"
alpha158,qlib_alpha158,a158_imxd60,Alpha158_极值距离60日,"(IdxMax($high, 60)-IdxMin($low, 60))/60"
alpha158,qlib_alpha158,a158_klen,Alpha158_K线长度,($high-$low)/$open
alpha158,qlib_alpha158,a158_klow,Alpha158_下影线,"(Less($open, $close)-$low)/$open"
alpha158,qlib_alpha158,a158_klow2,Alpha158_下影线比,"(Less($open, $close)-$low)/($high-$low+1e-12)"
alpha158,qlib_alpha158,a158_kmid,Alpha158_K线中点,($close-$open)/$open
alpha158,qlib_alpha158,a158_kmid2,Alpha158_K线中点比,($close-$open)/($high-$low+1e-12)
alpha158,qlib_alpha158,a158_ksft,Alpha158_K线偏移,(2*$close-$high-$low)/$open
alpha158,qlib_alpha158,a158_ksft2,Alpha158_K线偏移比,(2*$close-$high-$low)/($high-$low+1e-12)
alpha158,qlib_alpha158,a158_kup,Alpha158_上影线,"($high-Greater($open, $close))/$open"
alpha158,qlib_alpha158,a158_kup2,Alpha158_上影线比,"($high-Greater($open, $close))/($high-$low+1e-12)"
alpha158,qlib_alpha158,a158_low0,Alpha158_最低比,$low/$close
alpha158,qlib_alpha158,a158_ma10,Alpha158_均线10日,"Mean($close, 10)/$close"
alpha158,qlib_alpha158,a158_ma20,Alpha158_均线20日,"Mean($close, 20)/$close"
alpha158,qlib_alpha158,a158_ma30,Alpha158_均线30日,"Mean($close, 30)/$close"
alpha158,qlib_alpha158,a158_ma5,Alpha158_均线5日,"Mean($close, 5)/$close"
alpha158,qlib_alpha158,a158_ma60,Alpha158_均线60日,"Mean($close, 60)/$close"
alpha158,qlib_alpha158,a158_max10,Alpha158_最高价10日,"Max($high, 10)/$close"
alpha158,qlib_alpha158,a158_max20,Alpha158_最高价20日,"Max($high, 20)/$close"
alpha158,qlib_alpha158,a158_max30,Alpha158_最高价30日,"Max($high, 30)/$close"
alpha158,qlib_alpha158,a158_max5,Alpha158_最高价5日,"Max($high, 5)/$close"
alpha158,qlib_alpha158,a158_max60,Alpha158_最高价60日,"Max($high, 60)/$close"
alpha158,qlib_alpha158,a158_min10,Alpha158_最低价10日,"Min($low, 10)/$close"
alpha158,qlib_alpha158,a158_min20,Alpha158_最低价20日,"Min($low, 20)/$close"
